GBE_category	GBE_ID	N	GBE_NAME	GBE_short_name	GBE_short_name_len
Abdominal_MRI	INI22400	845	Liver_iron_(Fe)	Liver iron (Fe)	15
Abdominal_MRI	INI22401	837	Liver_inflammation_factor_(LIF)	Liver inflammation factor (LIF)	31
Abdominal_MRI	INI22402	4214	Liver_fat_percentage	Liver fat %	11
Abdominal_MRI	INI22403	5322	Anterior_thigh_lean_muscle_volume_(right)	Anterior thigh lean muscle volume (R)	37
Abdominal_MRI	INI22404	5322	Posterior_thigh_lean_muscle_volume_(right)	Posterior thigh lean muscle volume (R)	38
Abdominal_MRI	INI22405	5277	Anterior_thigh_lean_muscle_volume_(left)	Anterior thigh lean muscle volume (L)	37
Abdominal_MRI	INI22406	5277	Posterior_thigh_lean_muscle_volume_(left)	Posterior thigh lean muscle volume (L)	38
Abdominal_MRI	INI22407	9030	Visceral_adipose_tissue_volume_(VAT)	Visceral adipose tissue volume (VAT)	36
Abdominal_MRI	INI22408	9031	Abdominal_subcutaneous_adipose_tissue_volume_(ASAT)	Abdominal subcutaneous adipose tissue volume (ASAT)	51
Abdominal_MRI	INI22409	8881	Total_thigh_muscle_volume	Total thigh muscle volume	25
Abdominal_MRI	INI22410	5455	Total_trunk_fat	Total trunk fat	15
Anthropometry	INI12144	43136	Height	Height	6
Anthropometry	INI20015	449376	Sitting_height	Sitting height	14
Anthropometry	INI21001	448906	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI21002	449189	Weight	Weight	6
Anthropometry	INI23098	442846	Weight	Weight	6
Anthropometry	INI23099	442599	Body_fat_percentage	Body fat %	10
Anthropometry	INI23100	442115	Whole_body_fat_mass	Whole body fat mass	19
Anthropometry	INI23101	442806	Whole_body_fat-free_mass	Whole body fat-free mass	24
Anthropometry	INI23102	442842	Whole_body_water_mass	Whole body water mass	21
Anthropometry	INI23104	442840	Body_mass_index_(BMI)	BMI	3
Anthropometry	INI23105	442845	Basal_metabolic_rate	Basal metabolic rate	20
Anthropometry	INI23106	443139	Impedance_of_whole_body	Impedance of whole body	23
Anthropometry	INI23107	443165	Impedance_of_leg_(right)	Impedance of leg (R)	20
Anthropometry	INI23108	443161	Impedance_of_leg_(left)	Impedance of leg (L)	20
